Sierpinski-triangle.json 42 3 162 4 2 4 54
boston-sparse.json 488 8 1890 5 8.97222 5.5 236.25
circle.json 27 4 130 2 1.2 5 32.5
edinburgh-sparse.json 961 32 3502 1 15.233 4.40625 109.438
gothenburg-sparse.json 1175 8 4468 4 11.3333 5.125 558.5
lambda.json 38 4 120 3 2.7 4 30
nara-scaled.json 5374 1 12172 536870912 0 3 12172
nara-sparse.json 1560 12 4394 6 18.0641 4.41667 366.167
oxford-3000-nodes.json 3209 1 8414 536870912 0 5 8414
oxford-center-sparse.json 1425 12 4040 6 19.4872 4 336.667
oxford-sparse.json 614 1 2264 536870912 0 4 2264
oxford2-sparse-2.json 2389 16 7264 5 20.7059 4.5 454
randomMedium.json 97 4 374 4 3.8 5.5 93.5
randomSparse.json 86 4 246 5 6.1 3.5 61.5
sample.json 8 2 24 2 0.666667 4 12
tube.json 301 5 772 5 6.46667 5.8 154.4
van-city-sparse.json 1986 12 7202 5 20.0128 4.41667 600.167
